Número,Módulo,Título,Fecha,Tutor/a,Vimeo ID,Vimeo URL
17,M5,PSICOBIOLOGÍA,18 FEB 2025,Laura García,1058340941,https://vimeo.com/1058340941
18,M5,PSICOBIOLOGÍA,25 FEB 2025,Laura García,1060523824,https://vimeo.com/1060523824
19,M5,PSICOBIOLOGÍA,04 MAR 2025,Laura García,1062824212,https://vimeo.com/1062824212
20,M5,PSICOBIOLOGÍA,11 MAR 2025,Laura García,1065135392,https://vimeo.com/1065135392
21,M6,ÓRGANOS Y EMOCIONES - CONFLICTOS POR CAPAS EMBRIONARIAS,25 MAR 2025,María de la O,1069639119,https://vimeo.com/1069639119
22,M6,ÓRGANOS Y EMOCIONES - CONFLICTOS POR CAPAS EMBRIONARIAS,28 MAR 2025,María de la O,1071171554,https://vimeo.com/1071171554
23,M6,ÓRGANOS Y EMOCIONES - CONFLICTOS POR CAPAS EMBRIONARIAS,01 ABR 2025,María de la O,1071830928,https://vimeo.com/1071830928
24,M6,ÓRGANOS Y EMOCIONES - CONFLICTOS POR CAPAS EMBRIONARIAS,08 ABR 2025,María de la O,1073975431,https://vimeo.com/1073975431
25,M7,ÓRGANOS Y EMOCIONES II - CONFLICTOS POR CAPAS EMBRIONARIAS,15 ABR 2025,María de la O Córdova,1076085238,https://vimeo.com/1076085238
26,M7,ÓRGANOS Y EMOCIONES II - CONFLICTOS POR CAPAS EMBRIONARIAS,22 ABR 2025,María de la O Córdova,1077999914,https://vimeo.com/1077999914
27,M7,ÓRGANOS Y EMOCIONES II - CONFLICTOS POR CAPAS EMBRIONARIAS,29 ABR 2025,María de la O Córdova,1080252495,https://vimeo.com/1080252495
28,M7,ÓRGANOS Y EMOCIONES II - CONFLICTOS POR CAPAS EMBRIONARIAS,06 MAY 2025,María de la O Córdova,1082223749,https://vimeo.com/1082223749
29,M8,CONFLICTOS DE COMPORTAMIENTO I,20 MAY 2025,Fabiola Guzmán,1086456209,https://vimeo.com/1086456209
30,M8,CONFLICTOS DE COMPORTAMIENTO I,27 MAY 2025,Fabiola Guzmán,1088504316,https://vimeo.com/1088504316
31,M8,CONFLICTOS DE COMPORTAMIENTO I,03 JUN 2025,Fabiola Guzmán,1090558580,https://vimeo.com/1090558580
32,M8,CONFLICTOS DE COMPORTAMIENTO I,10 JUN 2025,Fabiola Guzmán,1092552566,https://vimeo.com/1092552566
33,M9,CONFLICTOS DE COMPORTAMIENTO II,17 JUN 2025,Fabiola Guzmán,1094471388,https://vimeo.com/1094471388
34,M9,CONFLICTOS DE COMPORTAMIENTO II,24 JUN 2025,Fabiola Guzmán,1096137316,https://vimeo.com/1096137316
35,M9,CONFLICTOS DE COMPORTAMIENTO II,01 JUL 2025,Fabiola Guzmán,1098253665,https://vimeo.com/1098253665
36,M9,CONFLICTOS DE COMPORTAMIENTO II,08 JUL 2025,Fabiola Guzmán,1100062513,https://vimeo.com/1100062513
37,M10,TIPOS DE CUERPO Y ALIMENTOS EN BIODESPROGRAMACIÓN,15 JUL 2025,Alejandra Benchoam,1101990720,https://vimeo.com/1101990720
38,M10,TIPOS DE CUERPO Y ALIMENTOS EN BIODESPROGRAMACIÓN,22 JUL 2025,Alejandra Benchoam,1103674233,https://vimeo.com/1103674233
39,M10,TIPOS DE CUERPO Y ALIMENTOS EN BIODESPROGRAMACIÓN,,Alejandra Benchoam,1105952923,https://vimeo.com/1105952923
40,M10,TIPOS DE CUERPO Y ALIMENTOS EN BIODESPROGRAMACIÓN,05 AGO 2025,Alejandra Benchoam,1107842830,https://vimeo.com/1107842830
41,M11,PROYECTO SENTIDO,19 AGO 2025,Osmary Acebal,1111671193,https://vimeo.com/1111671193
42,M11,PROYECTO SENTIDO,26 AGO 2025,Osmary Acebal,1113584266,https://vimeo.com/1113584266
43,M11,PROYECTO SENTIDO,02 SEP 2025,Osmary Acebal,1115509962,https://vimeo.com/1115509962
44,M11,PROYECTO SENTIDO,09 SEP 2025,Osmary Acebal,1117457430,https://vimeo.com/1117457430
45,M12,ÁRBOL TRANSGENERACIONAL,17 SEP 2025,Angélica Marín,1119811264,https://vimeo.com/1119811264
46,M12,ÁRBOL TRANSGENERACIONAL,23 SEP 2025,Angélica Marín,1121539091,https://vimeo.com/1121539091
47,M12,ÁRBOL TRANSGENERACIONAL,30 SEP 2025,Angélica Marín,1123580622,https://vimeo.com/1123580622
48,M12,ÁRBOL TRANSGENERACIONAL,07 OCT 2025,Angélica Marín,1125548363,https://vimeo.com/1125548363
49,M13,ACOMPAÑAMIENTO AL INCONSCIENTE PARA LA BIODESPROGRAMACIÓN,21 OCT 2025,Denisse Jiménez,1129391538,https://vimeo.com/1129391538
50,M13,ACOMPAÑAMIENTO AL INCONSCIENTE PARA LA BIODESPROGRAMACIÓN,28 OCT 2025,Denisse Jiménez,1131701154,https://vimeo.com/1131701154
51,M13,ACOMPAÑAMIENTO AL INCONSCIENTE PARA LA BIODESPROGRAMACIÓN,11 NOV 2025,Denisse Jiménez,1133899098,https://vimeo.com/1133899098
52,M13,ACOMPAÑAMIENTO AL INCONSCIENTE PARA LA BIODESPROGRAMACIÓN,24 NOV 2025,Fernando Sánchez,1137991925,https://vimeo.com/1137991925
53,M13,ACOMPAÑAMIENTO AL INCONSCIENTE PARA LA BIODESPROGRAMACIÓN,03 DIC 2025,Fernando Sánchez,1140056867,https://vimeo.com/1140056867
54,M13,ACOMPAÑAMIENTO AL INCONSCIENTE PARA LA BIODESPROGRAMACIÓN,08 DIC 2025,Fernando Sánchez,1141926668,https://vimeo.com/1141926668
55,M14,PRINCIPIOS DE PNL,18 NOV 2025,Patricia Pascual,1135537867,https://vimeo.com/1135537867
56,M14,PRINCIPIOS DE PNL,25 NOV 2025,Patricia Pascual,1136797699,https://vimeo.com/1136797699
57,M14,PRINCIPIOS DE PNL,02 DIC 2025,Patricia Pascual,1139178695,https://vimeo.com/1139178695
58,M14,PRINCIPIOS DE PNL,09 DIC 2025,Patricia Pascual,1142800088,https://vimeo.com/1142800088
59,Especial,Sesión bienvenida G42,15 OCT 2024,,1020056064,https://vimeo.com/1020056064
60,Especial,Sesión extra soporte G42,17 OCT 2024,,1020867969,https://vimeo.com/1020867969
61,Extraordinaria,SESIÓN EXTRAORDINARIA PARA GENERACIÓN 36 A 42,,,1023062064,https://vimeo.com/1023062064
62,Extraordinaria,SESIÓN EXTRAORDINARIA TURNO MATUTINO G37-G43,06 ENE 2025,,1044201063,https://vimeo.com/1044201063
63,Extraordinaria,SESIÓN EXTRAORDINARIA TURNO VESPERTINO G37-G43,06 ENE 2025,,1044199999,https://vimeo.com/1044199999
